Area Centroid_1 Centroid_2 Eccentricity Perimeter
487 63.1848049281314 195.675564681725 0.70729961590101 85.44
590 63.0033898305085 120.196610169492 0.637008989448848 89.798
176 78.9659090909091 30.5340909090909 0.986986988547043 176.464
970 109.785567010309 221.880412371134 0.902051969471628 149.881
425 91.4682352941176 155.402352941176 0.803716605484366 81.817
439 102.719817767654 112.974943052392 0.830785816654077 87.416
390 111.774358974359 141.182051282051 0.92548380594997 100.64
341 109.255131964809 191.451612903226 0.562160230972316 65.814
190 111.115789473684 173.989473684211 0.840983185367461 53.632
125 111.208 89.28 0.915881168906753 47.57
588 123.843537414966 250.081632653061 0.716388702233612 93.462
415 127.669879518072 117.048192771084 0.715819819579552 73.1
454 134.638766519824 76.7621145374449 0.637434937277332 83.165
74 135.378378378378 132.797297297297 0.555545712585149 27.912
261 138.946360153257 163.620689655172 0.743273460784734 59.554
248 139.016129032258 187.435483870968 0.733528336507904 54.856
551 155.733212341198 244.642468239564 0.595806897470675 81.288
185 149.12972972973 277.232432432432 0.579911139348528 46.917
351 155.381766381766 152.333333333333 0.611638780325666 72.447
80 153.8 196.425 0.602584837709331 36.348
574 160.797909407666 103.343205574913 0.932478179949436 115.519
238 157.033613445378 181.483193277311 0.603574426322074 53.004
519 170.102119460501 25.1040462427746 0.403487903213346 91.543
319 171.238244514107 219.69592476489 0.438995886905 60.579
398 172.015075376884 268.389447236181 0.824605586723137 86.746
221 174.665158371041 133.389140271493 0.813307824468016 55.733
489 179.38445807771 159.321063394683 0.907303923471667 91.99
471 185.299363057325 190.237791932059 0.756052038299987 77.483
140 178.021428571429 79.2 0.635008546025142 40.83
312 184.294871794872 114.592948717949 0.799460567091687 63.135
459 199.076252723312 86.2527233115468 0.683542045036211 76.656
307 194.71661237785 238.28990228013 0.758245084661481 63.598
469 199.294243070362 267.217484008529 0.84126843318446 96.497
161 194.130434782609 218.490683229814 0.791976157082442 67.08
204 199.328431372549 287.06862745098 0.786598733858094 51.217
277 206.945848375451 113.007220216606 0.554486940102504 59.537
717 213.571827057183 152.161785216179 0.883882397520107 133.101
265 216.739622641509 224.452830188679 0.845444713541546 61.497
315 217.247619047619 195.149206349206 0.877553736358541 72.943
567 227.460317460317 250.463844797178 0.853714920396343 98.316
555 237.736936936937 89.9657657657658 0.769255497592011 97.944
368 237.383152173913 120.41847826087 0.72427655679108 81.734
563 241.07460035524 57.9023090586146 0.793153208212072 112.739
334 238.607784431138 186.110778443114 0.749366367083612 64.78
255 240.839215686275 217.2 0.744673327944998 55.824
533 247.489681050657 161.260787992495 0.675796335533176 83.538
185 253.545945945946 135.135135135135 0.795376379806029 51.672
603 270.578772802653 115.402985074627 0.878766806044112 120.24
436 265.610091743119 234.103211009174 0.63319290134129 80.461
448 269.622767857143 204.667410714286 0.806107812593306 86.134
139 264.834532374101 163.517985611511 0.729770810603959 45.238
238 276.256302521008 144.327731092437 0.339891590130933 52.921
376 291.085106382979 162.808510638298 0.839556982374879 70.512
