Image,Global_dice,Av_dice_per_cell,Cell_detection_precision,Cell_detection_sensitivity
02,0.70871,0.83287,0.94737,0.5
04,0.83128,0.81221,0.88235,0.52632
07,0.84118,0.74924,0.91667,0.47312
09,0.8646,0.80482,0.79688,0.46364
16,0.85819,0.77331,0.90164,0.45455
