Image,Global_dice,Av_dice_per_cell,Cell_detection_precision,Cell_detection_sensitivity
02,0.64578,0.75166,0.52941,0.25
04,0.75712,0.72631,0.46667,0.12281
07,0.79768,0.5158,0.66667,0.086022
09,0.82071,0.70831,0.53846,0.063636
16,0.77226,0.012061,1,0.0082645
